# Time[ms],Looppar,Vdiode[V],Vled[V],Vscat[V],Temperature[C],Ix[A],Iy[A],Iz[A],LED_type
454784,0,,,,,,,-0.7028,1
454935,0,,,,,,0.0466,,1
455086,0,,,,25.4603,,,,1
455215,0,,,2.7505,,,,,1
455343,0,0.6777,,,,,,,1
455471,0,,,2.7506,,,,,1
455621,0,,,,,-0.0376,,,1
455772,0,,,,,,,0.4829,1
455923,0,,,,,,0.0464,,1
456075,0,,,,25.4603,,,,1
456202,0,0.6777,,,,,,,1
456330,0,,,2.7509,,,,,1
456458,0,0.6777,,,,,,,1
456609,0,,,,,-0.0376,,,1
456760,0,,,,,,,0.4829,1
456911,0,,,,,,0.0464,,1
457062,0,,,,25.4603,,,,1
457190,0,,,2.7513,,,,,1
457318,0,0.6777,,,,,,,1
457446,0,,,2.7514,,,,,1
457596,0,,,,,-0.0376,,,1
457747,0,,,,,,,0.4829,1
457898,0,,,,,,0.0466,,1
458049,0,,,,25.4603,,,,1
458177,0,0.6777,,,,,,,1
458305,0,,,2.7516,,,,,1
458433,0,0.6777,,,,,,,1
458583,0,,,,,-0.0376,,,1
458734,0,,,,,,,0.4829,1
458885,0,,,,,,0.0464,,1
459036,0,,,,25.4603,,,,1
459164,0,,,2.7520,,,,,1
459292,0,0.6777,,,,,,,1
459420,0,,,2.7521,,,,,1
459548,0,0.6777,,,,,,,1
459698,0,,,,,-0.0378,,,1
459849,0,,,,,,,0.4827,1
460000,0,,,,,,0.0464,,1
460151,0,,,,25.4603,,,,1
460279,0,,,2.7526,,,,,1
460407,0,0.6777,,,,,,,1
460535,0,,,2.7526,,,,,1
460685,0,,,,,-0.0376,,,1
460836,0,,,,,,,0.4829,1
460987,0,,,,,,0.0464,,1
461138,0,,,,25.4603,,,,1
461266,0,0.6777,,,,,,,1
461394,0,,,2.7529,,,,,1
461522,0,0.6777,,,,,,,1
461672,0,,,,,-0.0376,,,1
461823,0,,,,,,,0.4829,1
461974,0,,,,,,0.0464,,1
462125,0,,,,25.4603,,,,1
462253,0,,,2.7532,,,,,1
462381,0,0.6777,,,,,,,1
462509,0,,,2.7532,,,,,1
462659,0,,,,,-0.0376,,,1
462810,0,,,,,,,0.4829,1
462961,0,,,,,,0.0464,,1
463112,0,,,,25.4603,,,,1
463240,0,0.6777,,,,,,,1
463368,0,,,2.7538,,,,,1
463496,0,0.6777,,,,,,,1
463646,0,,,,,-0.0376,,,1
463797,0,,,,,,,0.4829,1
463948,0,,,,,,0.0464,,1
464099,0,,,,25.4603,,,,1
464227,0,,,2.7542,,,,,1
464355,0,0.6777,,,,,,,1
464483,0,,,2.7545,,,,,1
464633,0,,,,,-0.0376,,,1
464784,0,,,,,,,0.4829,1
464935,0,,,,,,0.0464,,1
465086,0,,,,25.4603,,,,1
465214,0,0.6777,,,,,,,1
465342,0,,,2.7549,,,,,1
465470,0,0.6777,,,,,,,1
465620,0,,,,,-0.0376,,,1
465771,0,,,,,,,0.4829,1
465922,0,,,,,,0.0464,,1
466073,0,,,,25.4603,,,,1
466201,0,,,2.7553,,,,,1
466329,0,0.6777,,,,,,,1
466457,0,,,2.7555,,,,,1
466607,0,,,,,-0.0376,,,1
466758,0,,,,,,,0.4829,1
466909,0,,,,,,0.0464,,1
467060,0,,,,25.4603,,,,1
467188,0,0.6777,,,,,,,1
467316,0,,,2.7555,,,,,1
467444,0,0.6777,,,,,,,1
467594,0,,,,,-0.0376,,,1
467745,0,,,,,,,0.4827,1
467896,0,,,,,,0.0462,,1
468047,0,,,,25.4603,,,,1
468175,0,,,2.7561,,,,,1
468303,0,0.6777,,,,,,,1
468431,0,,,2.7562,,,,,1
468559,0,0.6777,,,,,,,1
468709,0,,,,,-0.0376,,,1
468860,0,,,,,,,0.4829,1
469011,0,,,,,,0.0464,,1
469162,0,,,,25.4603,,,,1
469290,0,,,2.7569,,,,,1
469418,0,0.6777,,,,,,,1
469547,0,,,2.7570,,,,,1
469697,0,,,,,-0.0376,,,1
469848,0,,,,,,,0.4829,1
469999,0,,,,,,0.0464,,1
470151,0,,,,25.4603,,,,1
470279,0,0.6777,,,,,,,1
470407,0,,,2.7575,,,,,1
470535,0,0.6777,,,,,,,1
470685,0,,,,,-0.0376,,,1
470836,0,,,,,,,0.4829,1
470987,0,,,,,,0.0466,,1
471138,0,,,,25.4603,,,,1
471266,0,,,2.7578,,,,,1
471394,0,0.6777,,,,,,,1
471522,0,,,2.7579,,,,,1
471672,0,,,,,-0.0376,,,1
471823,0,,,,,,,0.4829,1
471975,0,,,,,,0.0464,,1
472125,0,,,,25.4603,,,,1
472253,0,0.6777,,,,,,,1
472381,0,,,2.7584,,,,,1
472509,0,0.6777,,,,,,,1
472659,0,,,,,-0.0376,,,1
472810,0,,,,,,,0.4829,1
472961,0,,,,,,0.0466,,1
473112,0,,,,25.4603,,,,1
473240,0,,,2.7589,,,,,1
473368,0,0.6777,,,,,,,1
473496,0,,,2.7591,,,,,1
473646,0,,,,,-0.0376,,,1
473797,0,,,,,,,0.4824,1
473948,0,,,,,,0.0464,,1
474099,0,,,,25.4603,,,,1
474227,0,0.6777,,,,,,,1
474355,0,,,2.7595,,,,,1
474483,0,0.6777,,,,,,,1
474633,0,,,,,-0.0378,,,1
474784,0,,,,,,,0.4827,1
474935,0,,,,,,0.0464,,1
475086,0,,,,25.4603,,,,1
475214,0,,,2.7600,,,,,1
475342,0,0.6777,,,,,,,1
475470,0,,,2.7601,,,,,1
475620,0,,,,,-0.0376,,,1
475771,0,,,,,,,0.4829,1
475922,0,,,,,,0.0464,,1
476073,0,,,,25.4603,,,,1
476201,0,0.6777,,,,,,,1
476329,0,,,2.7608,,,,,1
476457,0,0.6777,,,,,,,1
476607,0,,,,,-0.0376,,,1
476758,0,,,,,,,0.4827,1
476909,0,,,,,,0.0464,,1
477060,0,,,,25.4603,,,,1
477188,0,,,2.7611,,,,,1
477316,0,0.6777,,,,,,,1
477444,0,,,2.7612,,,,,1
477594,0,,,,,-0.0376,,,1
477745,0,,,,,,,0.4829,1
477896,0,,,,,,0.0466,,1
478047,0,,,,25.4603,,,,1
478175,0,0.6777,,,,,,,1
478304,0,,,2.7619,,,,,1
478432,0,0.6777,,,,,,,1
478582,0,,,,,-0.0376,,,1
478733,0,,,,,,,0.4829,1
478884,0,,,,,,0.0464,,1
479035,0,,,,25.4603,,,,1
479163,0,,,2.7624,,,,,1
479291,0,0.6777,,,,,,,1
479419,0,,,2.7625,,,,,1
479547,0,0.6777,,,,,,,1
479697,0,,,,,-0.0376,,,1
479848,0,,,,,,,0.4829,1
479999,0,,,,,,0.0464,,1
480150,0,,,,25.4633,,,,1
480278,0,,,2.7631,,,,,1
480406,0,0.6777,,,,,,,1
480534,0,,,2.7634,,,,,1
480684,0,,,,,-0.0374,,,1
480835,0,,,,,,,0.4829,1
480986,0,,,,,,0.0464,,1
481137,0,,,,25.4633,,,,1
481265,0,0.6777,,,,,,,1
481393,0,,,2.7637,,,,,1
481521,0,0.6777,,,,,,,1
481671,0,,,,,-0.0376,,,1
481822,0,,,,,,,0.4829,1
481973,0,,,,,,0.0464,,1
482124,0,,,,25.4603,,,,1
482252,0,,,2.7644,,,,,1
482380,0,0.6777,,,,,,,1
482508,0,,,2.7645,,,,,1
482658,0,,,,,-0.0376,,,1
482809,0,,,,,,,0.4829,1
482960,0,,,,,,0.0466,,1
483111,0,,,,25.4603,,,,1
483239,0,0.6777,,,,,,,1
483367,0,,,2.7650,,,,,1
483495,0,0.6777,,,,,,,1
483645,0,,,,,-0.0374,,,1
483796,0,,,,,,,0.4829,1
483947,0,,,,,,0.0464,,1
484098,0,,,,25.4603,,,,1
484226,0,,,2.7656,,,,,1
484354,0,0.6777,,,,,,,1
484482,0,,,2.7659,,,,,1
484632,0,,,,,-0.0376,,,1
484783,0,,,,,,,0.4829,1
484934,0,,,,,,0.0466,,1
485085,0,,,,25.4633,,,,1
485213,0,0.6777,,,,,,,1
485341,0,,,2.7664,,,,,1
485469,0,0.6777,,,,,,,1
485619,0,,,,,-0.0374,,,1
485770,0,,,,,,,0.4829,1
485921,0,,,,,,0.0466,,1
486072,0,,,,25.4633,,,,1
486200,0,,,2.7669,,,,,1
486328,0,0.6777,,,,,,,1
486456,0,,,2.7670,,,,,1
486606,0,,,,,-0.0374,,,1
486757,0,,,,,,,0.4829,1
486908,0,,,,,,0.0466,,1
487059,0,,,,25.4633,,,,1
487187,0,0.6777,,,,,,,1
487315,0,,,2.7676,,,,,1
487443,0,0.6777,,,,,,,1
487594,0,,,,,-0.0378,,,1
487744,0,,,,,,,0.4827,1
487895,0,,,,,,0.0464,,1
488046,0,,,,25.4633,,,,1
488174,0,,,2.7682,,,,,1
488302,0,0.6777,,,,,,,1
488430,0,,,2.7684,,,,,1
488558,0,0.6777,,,,,,,1
488708,0,,,,,-0.0376,,,1
488859,0,,,,,,,0.4827,1
489010,0,,,,,,0.0464,,1
489161,0,,,,25.4633,,,,1
489289,0,,,2.7691,,,,,1
489417,0,0.6777,,,,,,,1
489545,0,,,2.7694,,,,,1
489695,0,,,,,-0.0376,,,1
489846,0,,,,,,,0.4827,1
489997,0,,,,,,0.0464,,1
490148,0,,,,25.4633,,,,1
490276,0,0.6777,,,,,,,1
490404,0,,,2.7700,,,,,1
490532,0,0.6777,,,,,,,1
490682,0,,,,,-0.0376,,,1
490833,0,,,,,,,0.4827,1
490984,0,,,,,,0.0464,,1
491135,0,,,,25.4633,,,,1
491263,0,,,2.7707,,,,,1
491391,0,0.6777,,,,,,,1
491519,0,,,2.7709,,,,,1
491669,0,,,,,-0.0376,,,1
491820,0,,,,,,,0.4829,1
491971,0,,,,,,0.0464,,1
492122,0,,,,25.4633,,,,1
492250,0,0.6777,,,,,,,1
492378,0,,,2.7714,,,,,1
492506,0,0.6777,,,,,,,1
492656,0,,,,,-0.0376,,,1
492807,0,,,,,,,0.4829,1
492958,0,,,,,,0.0466,,1
493109,0,,,,25.4633,,,,1
493237,0,,,2.7720,,,,,1
493365,0,0.6777,,,,,,,1
493493,0,,,2.7721,,,,,1
493643,0,,,,,-0.0376,,,1
493794,0,,,,,,,0.4827,1
493945,0,,,,,,0.0466,,1
494096,0,,,,25.4633,,,,1
494224,0,0.6777,,,,,,,1
494352,0,,,2.7728,,,,,1
494480,0,0.6777,,,,,,,1
494630,0,,,,,-0.0376,,,1
494781,0,,,,,,,0.4829,1
494932,0,,,,,,0.0466,,1
495083,0,,,,25.4633,,,,1
495211,0,,,2.7735,,,,,1
495339,0,0.6777,,,,,,,1
495467,0,,,2.7738,,,,,1
495617,0,,,,,-0.0376,,,1
495768,0,,,,,,,0.4827,1
495919,0,,,,,,0.0464,,1
496070,0,,,,25.4633,,,,1
496198,0,0.6777,,,,,,,1
496326,0,,,2.7744,,,,,1
496454,0,0.6777,,,,,,,1
496604,0,,,,,-0.0378,,,1
496755,0,,,,,,,0.4827,1
496906,0,,,,,,0.0464,,1
497057,0,,,,25.4633,,,,1
497185,0,,,2.7749,,,,,1
497314,0,0.6779,,,,,,,1
497442,0,,,2.7753,,,,,1
497592,0,,,,,-0.0376,,,1
497743,0,,,,,,,0.4829,1
497894,0,,,,,,0.0464,,1
498046,0,,,,25.4633,,,,1
498174,0,0.6777,,,,,,,1
498302,0,,,2.7759,,,,,1
498430,0,0.6777,,,,,,,1
498558,0,,,2.7760,,,,,1
498708,0,,,,,-0.0376,,,1
498859,0,,,,,,,0.4829,1
499010,0,,,,,,0.0466,,1
499161,0,,,,25.4633,,,,1
499289,0,0.6777,,,,,,,1
499417,0,,,2.7766,,,,,1
499545,0,0.6777,,,,,,,1
499695,0,,,,,-0.0376,,,1
499846,0,,,,,,,0.4824,1
499997,0,,,,,,0.0464,,1
500148,0,,,,25.4633,,,,1
500276,0,,,2.7772,,,,,1
500404,0,0.6777,,,,,,,1
500532,0,,,2.7775,,,,,1
500682,0,,,,,-0.0376,,,1
500833,0,,,,,,,0.4827,1
500984,0,,,,,,0.0464,,1
501135,0,,,,25.4633,,,,1
501263,0,0.6777,,,,,,,1
501391,0,,,2.7782,,,,,1
501519,0,0.6779,,,,,,,1
501669,0,,,,,-0.0376,,,1
501820,0,,,,,,,0.4827,1
501971,0,,,,,,0.0464,,1
502122,0,,,,25.4633,,,,1
502250,0,,,2.7787,,,,,1
502378,0,0.6777,,,,,,,1
502506,0,,,2.7790,,,,,1
502656,0,,,,,-0.0376,,,1
502807,0,,,,,,,0.4827,1
502958,0,,,,,,0.0464,,1
503109,0,,,,25.4633,,,,1
503237,0,0.6777,,,,,,,1
503365,0,,,2.7797,,,,,1
503493,0,0.6777,,,,,,,1
503644,0,,,,,-0.0376,,,1
503795,0,,,,,,,0.4827,1
503946,0,,,,,,0.0464,,1
504097,0,,,,25.4633,,,,1
504225,0,,,2.7805,,,,,1
504353,0,0.6777,,,,,,,1
504481,0,,,2.7806,,,,,1
504631,0,,,,,-0.0376,,,1
504782,0,,,,,,,0.4827,1
504933,0,,,,,,0.0464,,1
505084,0,,,,25.4633,,,,1
505212,0,0.6777,,,,,,,1
505340,0,,,2.7814,,,,,1
505468,0,0.6779,,,,,,,1
505618,0,,,,,-0.0376,,,1
505769,0,,,,,,,0.4827,1
505920,0,,,,,,0.0464,,1
506071,0,,,,25.4633,,,,1
506199,0,,,2.7819,,,,,1
506327,0,0.6779,,,,,,,1
506455,0,,,2.7819,,,,,1
506605,0,,,,,-0.0376,,,1
506756,0,,,,,,,0.4827,1
506907,0,,,,,,0.0464,,1
507058,0,,,,25.4633,,,,1
507186,0,0.6777,,,,,,,1
507314,0,,,2.7829,,,,,1
507442,0,0.6777,,,,,,,1
507592,0,,,,,-0.0376,,,1
507743,0,,,,,,,0.4829,1
507894,0,,,,,,0.0464,,1
508045,0,,,,25.4633,,,,1
508173,0,,,2.7833,,,,,1
508301,0,0.6779,,,,,,,1
508429,0,,,2.7835,,,,,1
508557,0,0.6779,,,,,,,1
508707,0,,,,,-0.0376,,,1
508858,0,,,,,,,0.4827,1
509009,0,,,,,,0.0466,,1
509160,0,,,,25.4633,,,,1
509288,0,,,2.7844,,,,,1
509416,0,0.6779,,,,,,,1
509544,0,,,2.7844,,,,,1
509694,0,,,,,-0.0374,,,1
509845,0,,,,,,,0.4829,1
509996,0,,,,,,0.0466,,1
510147,0,,,,25.4633,,,,1
510275,0,0.6777,,,,,,,1
510403,0,,,2.7855,,,,,1
510531,0,0.6779,,,,,,,1
510681,0,,,,,-0.0374,,,1
510832,0,,,,,,,0.4829,1
510983,0,,,,,,0.0466,,1
511134,0,,,,25.4633,,,,1
511262,0,,,2.7860,,,,,1
511390,0,0.6777,,,,,,,1
511519,0,,,2.7861,,,,,1
511669,0,,,,,-0.0374,,,1
511820,0,,,,,,,0.4829,1
511971,0,,,,,,0.0466,,1
512122,0,,,,25.4633,,,,1
512251,0,0.6777,,,,,,,1
512378,0,,,2.7867,,,,,1
512506,0,0.6777,,,,,,,1
512657,0,,,,,-0.0374,,,1
512808,0,,,,,,,0.4829,1
512959,0,,,,,,0.0466,,1
513110,0,,,,25.4633,,,,1
513238,0,,,2.7874,,,,,1
513366,0,0.6779,,,,,,,1
513494,0,,,2.7875,,,,,1
513644,0,,,,,-0.0374,,,1
513795,0,,,,,,,0.4827,1
513946,0,,,,,,0.0466,,1
514097,0,,,,25.4663,,,,1
514225,0,0.6777,,,,,,,1
514353,0,,,2.7884,,,,,1
514481,0,0.6779,,,,,,,1
514631,0,,,,,-0.0374,,,1
514782,0,,,,,,,0.4827,1
514933,0,,,,,,0.0466,,1
515084,0,,,,25.4633,,,,1
515212,0,,,2.7891,,,,,1
515340,0,0.6779,,,,,,,1
515468,0,,,2.7891,,,,,1
515618,0,,,,,-0.0374,,,1
515769,0,,,,,,,0.4829,1
515920,0,,,,,,0.0466,,1
516071,0,,,,25.4633,,,,1
516199,0,0.6779,,,,,,,1
516327,0,,,2.7900,,,,,1
516455,0,0.6777,,,,,,,1
516605,0,,,,,-0.0376,,,1
516756,0,,,,,,,0.4824,1
516907,0,,,,,,0.0462,,1
517058,0,,,,25.4633,,,,1
517186,0,,,2.7905,,,,,1
517314,0,0.6779,,,,,,,1
517442,0,,,2.7907,,,,,1
517592,0,,,,,-0.0378,,,1
517743,0,,,,,,,0.4824,1
517894,0,,,,,,0.0464,,1
518045,0,,,,25.4663,,,,1
518173,0,0.6779,,,,,,,1
518301,0,,,2.7915,,,,,1
518430,0,0.6779,,,,,,,1
518557,0,,,2.7916,,,,,1
518708,0,,,,,-0.0376,,,1
518859,0,,,,,,,0.4827,1
519010,0,,,,,,0.0464,,1
519161,0,,,,25.4633,,,,1
519289,0,0.6779,,,,,,,1
519417,0,,,2.7925,,,,,1
519545,0,0.6777,,,,,,,1
519695,0,,,,,-0.0376,,,1
519846,0,,,,,,,0.4827,1
519997,0,,,,,,0.0464,,1
520148,0,,,,25.4663,,,,1
520276,0,,,2.7931,,,,,1
520404,0,0.6779,,,,,,,1
520532,0,,,2.7934,,,,,1
520682,0,,,,,-0.0376,,,1
520833,0,,,,,,,0.4827,1
520984,0,,,,,,0.0464,,1
521135,0,,,,25.4663,,,,1
521263,0,0.6779,,,,,,,1
521391,0,,,2.7938,,,,,1
521519,0,0.6779,,,,,,,1
521669,0,,,,,-0.0376,,,1
521820,0,,,,,,,0.4827,1
521971,0,,,,,,0.0466,,1
522122,0,,,,25.4663,,,,1
522250,0,,,2.7944,,,,,1
522378,0,0.6779,,,,,,,1
522506,0,,,2.7946,,,,,1
522656,0,,,,,-0.0376,,,1
522807,0,,,,,,,0.4829,1
522958,0,,,,,,0.0466,,1
523109,0,,,,25.4663,,,,1
523237,0,0.6779,,,,,,,1
523365,0,,,2.7953,,,,,1
523493,0,0.6779,,,,,,,1
523643,0,,,,,-0.0376,,,1
523794,0,,,,,,,0.4827,1
523945,0,,,,,,0.0466,,1
524096,0,,,,25.4663,,,,1
524224,0,,,2.7959,,,,,1
524352,0,0.6779,,,,,,,1
524480,0,,,2.7960,,,,,1
524630,0,,,,,-0.0374,,,1
524781,0,,,,,,,0.4827,1
524932,0,,,,,,0.0466,,1
525083,0,,,,25.4663,,,,1
525211,0,0.6779,,,,,,,1
525339,0,,,2.7967,,,,,1
525467,0,0.6779,,,,,,,1
525617,0,,,,,-0.0376,,,1
525768,0,,,,,,,0.4827,1
525919,0,,,,,,0.0464,,1
526070,0,,,,25.4663,,,,1
526198,0,,,2.7974,,,,,1
526326,0,0.6779,,,,,,,1
526454,0,,,2.7975,,,,,1
526605,0,,,,,-0.0376,,,1
526756,0,,,,,,,0.4827,1
526907,0,,,,,,0.0466,,1
527058,0,,,,25.4663,,,,1
527187,0,0.6779,,,,,,,1
527315,0,,,2.7982,,,,,1
527443,0,0.6779,,,,,,,1
527593,0,,,,,-0.0374,,,1
527744,0,,,,,,,0.4827,1
527895,0,,,,,,0.0466,,1
528046,0,,,,25.4663,,,,1
528174,0,,,2.7987,,,,,1
528302,0,0.6779,,,,,,,1
528430,0,,,2.7989,,,,,1
528558,0,0.6779,,,,,,,1
528708,0,,,,,-0.0376,,,1
528859,0,,,,,,,0.4827,1
529010,0,,,,,,0.0466,,1
529161,0,,,,25.4663,,,,1
529289,0,,,2.7994,,,,,1
529417,0,0.6779,,,,,,,1
529545,0,,,2.7997,,,,,1
529695,0,,,,,-0.0374,,,1
529846,0,,,,,,,0.4827,1
529997,0,,,,,,0.0466,,1
530148,0,,,,25.4663,,,,1
530276,0,0.6779,,,,,,,1
530404,0,,,2.8005,,,,,1
530532,0,0.6779,,,,,,,1
530682,0,,,,,-0.0374,,,1
530833,0,,,,,,,0.4827,1
530984,0,,,,,,0.0466,,1
531135,0,,,,25.4663,,,,1
531263,0,,,2.8006,,,,,1
531391,0,0.6779,,,,,,,1
531519,0,,,2.8009,,,,,1
531669,0,,,,,-0.0374,,,1
531820,0,,,,,,,0.4829,1
531971,0,,,,,,0.0466,,1
532122,0,,,,25.4663,,,,1
532250,0,0.6779,,,,,,,1
532378,0,,,2.8015,,,,,1
532506,0,0.6779,,,,,,,1
532656,0,,,,,-0.0374,,,1
532807,0,,,,,,,0.4827,1
532958,0,,,,,,0.0466,,1
533109,0,,,,25.4663,,,,1
533237,0,,,2.8020,,,,,1
533365,0,0.6779,,,,,,,1
533493,0,,,2.8022,,,,,1
533643,0,,,,,-0.0374,,,1
533794,0,,,,,,,0.4829,1
533945,0,,,,,,0.0466,,1
534096,0,,,,25.4663,,,,1
534224,0,0.6779,,,,,,,1
534352,0,,,2.8027,,,,,1
534480,0,0.6779,,,,,,,1
534630,0,,,,,-0.0374,,,1
534781,0,,,,,,,0.4829,1
534932,0,,,,,,0.0466,,1
535083,0,,,,25.4663,,,,1
535211,0,,,2.8035,,,,,1
535339,0,0.6779,,,,,,,1
535467,0,,,2.8036,,,,,1
535617,0,,,,,-0.0374,,,1
535768,0,,,,,,,0.4827,1
535919,0,,,,,,0.0466,,1
536070,0,,,,25.4663,,,,1
536198,0,0.6779,,,,,,,1
536326,0,,,2.8041,,,,,1
536454,0,0.6779,,,,,,,1
536604,0,,,,,-0.0374,,,1
536755,0,,,,,,,0.4827,1
536906,0,,,,,,0.0466,,1
537057,0,,,,25.4663,,,,1
537185,0,,,2.8045,,,,,1
537313,0,0.6779,,,,,,,1
537441,0,,,2.8047,,,,,1
537591,0,,,,,-0.0374,,,1
537742,0,,,,,,,0.4827,1
537893,0,,,,,,0.0466,,1
538044,0,,,,25.4663,,,,1
538172,0,0.6779,,,,,,,1
538300,0,,,2.8052,,,,,1
538428,0,0.6779,,,,,,,1
